Soil_Moisture,Microbial_CO2,Temperature,Irrigation_Needed
61,343,33,0
24,768,38,1
81,238,33,0
70,308,31,0
30,241,27,0
84,385,30,0
84,597,22,0
33,422,33,0
12,332,32,0
31,362,15,0
62,414,28,0
11,434,33,0
39,787,29,1
47,208,32,0
11,273,16,0
73,691,36,0
69,452,31,0
30,429,32,0
42,718,20,0
85,373,33,0
67,367,18,0
31,369,15,0
58,592,22,0
68,393,37,0
51,716,21,0
69,228,17,0
89,364,24,0
24,621,24,0
71,538,33,0
71,695,28,0
56,564,16,0
71,541,15,0
60,699,37,0
64,710,37,0
73,526,32,0
12,416,21,0
60,500,22,0
16,331,15,0
30,269,39,0
82,451,37,0
48,614,17,0
27,644,38,1
13,381,37,0
69,366,22,0
23,290,36,0
18,730,39,1
62,238,29,0
11,325,19,0
69,650,17,0
80,372,33,0
53,419,15,0
17,257,29,0
56,675,22,0
44,655,16,0
87,560,17,0
45,200,38,0
59,586,28,0
13,547,38,1
11,389,28,0
15,704,25,0
63,390,30,0
13,707,18,0
63,568,34,0
72,608,19,0
27,316,36,0
53,333,35,0
43,257,28,0
83,755,37,0
71,372,30,0
23,348,32,0
57,279,21,0
24,412,24,0
81,402,21,0
87,428,15,0
71,426,37,0
49,731,35,0
89,640,33,0
62,601,30,0
33,246,33,0
35,432,18,0
69,504,32,0
50,725,16,0
38,342,15,0
24,614,29,1
54,712,19,0
74,572,34,0
80,765,25,0
18,458,24,0
10,670,16,0
17,211,17,0
72,529,37,0
20,557,37,1
17,607,26,1
44,572,34,0
44,207,19,0
42,321,19,0
14,547,20,0
50,289,23,0
37,515,16,0
16,377,35,0
82,739,26,0
81,240,17,0
21,701,34,1
43,344,36,0
42,400,26,0
57,660,38,0
32,757,31,1
71,746,24,0
46,452,38,0
53,589,28,0
44,793,37,0
74,455,31,0
56,649,32,0
87,209,33,0
12,441,31,0
10,450,28,0
14,204,23,0
23,318,22,0
36,573,16,0
18,264,27,0
88,345,39,0
24,423,21,0
51,438,23,0
86,376,36,0
60,481,36,0
72,262,25,0
61,416,28,0
13,660,18,0
32,304,27,0
24,298,16,0
52,710,37,0
38,584,19,0
45,604,25,0
22,717,20,0
41,675,32,0
80,636,35,0
68,222,24,0
37,764,18,0
75,657,23,0
51,282,20,0
54,344,16,0
71,284,31,0
66,277,19,0
15,656,39,1
37,200,20,0
37,250,26,0
53,645,37,0
39,648,35,1
71,687,24,0
84,233,36,0
71,547,35,0
10,294,39,0
36,271,20,0
71,750,22,0
86,353,16,0
12,449,26,0
79,637,27,0
81,317,39,0
36,505,35,1
18,467,21,0
71,253,24,0
46,435,27,0
60,588,31,0
53,600,35,0
33,502,28,1
88,406,16,0
68,428,36,0
41,777,25,0
61,274,15,0
71,634,33,0
67,302,35,0
61,621,18,0
